,2010 Census Tract,Total Population    21 Years    and Under,Under 1 Year,1 & 2 Years,3 & 4 Years,5 Years,6 Years,7 to 9 Years,10 & 11 Years,12 & 13 Years,14 Years,15 Years,16 Years,17 Years,18 Years,19 Years,20 Years,21 Years
Brooklyn,94.0,"1,720",105,179,173,102,77,227,127,132,63,55,59,90,80,87,79,85
Brooklyn,96.0,"1,907",120,200,215,102,93,246,142,148,71,71,86,73,71,87,93,89
Brooklyn,98.0,"2,384",123,246,266,98,104,292,169,199,120,81,105,97,131,102,121,130
Brooklyn,100.0,"2,082",120,184,204,98,93,261,149,144,96,90,92,97,95,110,119,130
Brooklyn,101.0,"1,161",51,122,132,57,49,161,77,95,42,46,53,46,61,44,70,55
Brooklyn,102.0,"1,647",101,172,185,79,89,212,106,118,60,56,71,63,87,80,79,89
Brooklyn,104.0,"1,682",80,149,188,84,91,211,135,127,71,62,60,80,75,81,83,105
Brooklyn,106.0,"1,682",92,151,163,100,58,182,138,116,89,74,93,63,85,88,108,82
Brooklyn,108.0,"1,595",97,164,182,74,76,225,97,120,61,41,66,58,73,77,93,91
Brooklyn,110.0,821,51,90,71,42,35,118,75,75,20,29,25,31,34,45,37,43
Brooklyn,112.0,"2,401",133,241,247,149,112,360,216,194,105,104,100,83,89,79,94,95
Brooklyn,114.0,"1,330",85,154,134,78,82,197,116,104,64,53,57,52,38,44,45,27
Brooklyn,116.0,"1,578",64,169,179,79,99,235,121,142,55,55,77,59,57,66,54,67
Brooklyn,117.0,473,29,44,40,14,14,61,36,55,35,14,24,22,24,14,29,18
Brooklyn,118.0,681,28,70,76,41,27,85,54,57,32,25,32,28,31,29,36,30
Brooklyn,119.0,223,33,22,24,7,8,27,22,14,7,6,4,7,1,12,11,18
Brooklyn,120.0,388,25,29,28,20,26,54,30,33,15,21,14,16,12,15,27,23
Brooklyn,121.0,302,20,37,39,16,11,37,20,25,7,10,10,6,13,9,10,32
Brooklyn,122.0,"1,652",86,178,155,77,61,235,145,114,68,61,83,83,66,78,88,74
Brooklyn,126.0,795,36,71,70,39,32,120,71,61,31,35,40,41,36,26,45,41
Brooklyn,127.0,880,56,76,85,34,34,96,73,88,38,41,48,46,41,37,45,42
Brooklyn,128.01,562,31,60,53,18,18,67,43,49,30,27,31,23,28,24,29,31
Brooklyn,129.01,371,40,49,29,14,14,51,24,21,10,14,25,16,14,9,18,23
Brooklyn,129.02,301,25,47,31,16,14,37,21,25,10,16,9,13,9,5,10,13
Brooklyn,130.0,"1,273",77,134,104,63,54,161,114,109,70,60,56,49,74,38,56,54
Brooklyn,131.0,620,52,91,75,19,21,79,45,64,12,21,22,26,21,25,25,22
Brooklyn,132.0,684,28,69,42,24,27,88,72,69,33,25,42,34,36,36,26,33
Brooklyn,133.0,722,88,105,86,35,51,104,52,38,31,28,22,16,12,12,23,19
Brooklyn,134.0,"1,016",39,89,95,56,66,141,83,85,45,45,52,38,48,35,50,49
Brooklyn,135.0,815,81,118,121,54,56,118,67,54,22,17,24,25,8,20,10,20
Brooklyn,136.0,994,47,81,105,50,42,125,84,81,59,45,44,53,40,56,44,38
Brooklyn,137.0,544,58,90,65,35,27,63,46,23,33,15,17,19,15,13,13,12
Brooklyn,138.0,690,31,74,69,30,38,71,64,63,20,32,21,24,23,43,32,55
Brooklyn,139.0,660,37,74,65,24,34,81,60,46,24,45,34,29,36,22,23,26
Brooklyn,140.0,395,25,33,31,24,17,51,56,42,20,12,16,15,13,14,14,12
Brooklyn,141.0,617,42,115,62,26,32,69,46,44,21,22,21,25,15,19,21,37
Brooklyn,142.0,719,52,56,80,34,17,94,58,70,36,30,25,32,33,31,32,39
Brooklyn,143.0,738,43,81,64,30,29,78,51,70,40,31,39,26,39,40,32,45
Brooklyn,145.0,945,50,109,99,37,41,125,71,84,33,42,32,38,45,52,42,45
Brooklyn,147.0,475,29,61,34,22,22,53,42,42,23,28,23,20,17,17,19,23
Brooklyn,148.0,265,16,24,16,15,7,47,27,14,10,16,12,15,9,11,12,14
Brooklyn,149.0,915,80,130,100,57,35,103,80,61,33,46,30,38,30,29,33,30
Brooklyn,150.0,335,16,31,36,22,17,37,32,38,15,17,17,12,8,14,9,14
Brooklyn,151.0,789,58,113,122,58,33,124,54,43,29,27,33,22,19,16,19,19
Brooklyn,152.0,498,33,43,55,26,19,70,43,41,20,21,17,26,12,24,24,24
Brooklyn,153.0,570,91,75,54,26,24,69,48,47,17,25,16,19,13,15,14,17
Brooklyn,154.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn,155.0,704,46,76,94,36,49,120,70,56,23,23,29,20,18,18,9,17
Brooklyn,157.0,769,67,132,109,44,51,106,55,49,24,36,26,26,11,7,14,12
Brooklyn,159.0,795,88,138,117,58,45,95,52,54,19,31,25,27,13,10,13,10
Brooklyn,160.0,"1,035",38,108,92,42,54,136,94,91,53,53,45,50,61,41,39,38
Brooklyn,161.0,526,47,108,68,36,30,49,27,34,17,22,12,20,11,12,13,20
Brooklyn,162.0,399,31,44,40,22,20,47,33,21,21,17,20,14,23,20,6,20
Brooklyn,163.0,488,55,84,60,28,19,54,31,25,12,15,18,18,16,16,15,22
Brooklyn,164.0,323,26,46,43,28,17,46,26,28,7,14,4,12,11,5,5,5
Brooklyn,165.0,"1,086",72,138,158,69,62,161,94,69,44,52,49,47,26,20,11,14
Brooklyn,166.0,499,7,31,38,26,17,57,40,49,32,36,29,23,31,31,21,31
Brooklyn,167.0,949,70,151,147,65,72,136,68,64,18,31,34,26,17,17,16,17
Brooklyn,168.0,327,8,24,26,22,18,47,29,33,16,14,8,16,17,16,22,11
Brooklyn,169.0,842,58,113,86,54,43,108,69,75,18,24,41,27,26,28,35,37
Brooklyn,170.0,839,36,84,80,49,31,107,101,88,44,47,22,40,33,18,24,35
Brooklyn,171.0,852,71,116,113,54,52,107,71,59,35,36,29,37,13,15,27,17
Brooklyn,172.0,761,33,46,64,36,28,85,86,77,37,30,41,47,40,35,40,36
Brooklyn,174.0,445,26,33,47,19,15,62,51,45,22,17,17,19,16,18,16,22
Brooklyn,175.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Brooklyn,176.0,522,27,47,56,28,26,67,32,50,20,28,23,19,22,21,34,22
Brooklyn,177.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn,178.0,743,43,72,70,33,29,103,62,59,38,38,30,25,39,37,36,29
Brooklyn,179.0,741,34,70,58,35,32,84,56,76,35,42,42,40,32,32,39,34
Brooklyn,180.0,906,42,92,58,34,45,122,89,88,50,36,33,39,40,42,42,54
Brooklyn,181.0,533,62,86,67,28,14,59,31,32,12,23,27,19,16,17,16,24
Brooklyn,182.0,802,26,82,74,27,29,88,60,81,45,38,22,45,32,40,52,61
Brooklyn,183.0,390,36,75,46,28,19,52,28,19,8,13,9,14,3,13,12,15
Brooklyn,184.0,490,12,28,40,18,19,59,52,60,27,25,27,20,28,14,28,33
Brooklyn,185.01,"1,304",60,122,134,49,49,146,101,109,74,66,51,76,67,63,63,74
Brooklyn,186.0,554,16,38,51,35,24,79,52,54,29,35,16,24,12,35,21,33
Brooklyn,187.0,337,22,36,28,15,9,41,23,27,14,17,6,15,16,19,26,23
Brooklyn,188.0,616,32,60,58,20,30,71,45,57,23,44,32,39,33,20,28,24
Brooklyn,190.0,"1,373",60,96,140,47,56,188,119,111,74,48,68,62,83,64,76,81
Brooklyn,191.0,574,29,63,44,25,23,71,58,52,22,15,21,21,17,23,55,35
Brooklyn,192.0,"1,133",64,117,116,48,62,155,91,103,50,52,53,40,40,45,58,39
Brooklyn,193.0,"2,170",55,79,75,33,23,106,73,72,40,44,39,35,330,566,333,267
Brooklyn,194.0,833,31,79,95,31,49,87,74,74,32,31,33,41,41,37,53,45
Brooklyn,195.0,559,41,72,52,26,21,68,32,37,20,25,16,28,17,21,32,51
Brooklyn,196.0,"1,148",62,114,114,40,60,165,87,76,44,42,41,46,55,60,59,83
Brooklyn,197.0,540,60,76,69,29,23,63,35,40,22,15,16,14,11,14,32,21
Brooklyn,198.0,402,15,38,21,20,15,60,44,38,15,25,17,19,18,18,14,25
Brooklyn,199.0,463,52,50,66,13,21,41,34,33,7,17,15,21,21,21,19,32
Brooklyn,200.0,643,35,59,59,23,34,89,33,60,33,32,34,29,32,29,28,34
Brooklyn,201.0,571,58,81,71,19,22,69,36,34,14,29,20,25,9,19,30,35
Brooklyn,202.0,465,15,38,50,28,25,62,37,46,15,25,22,17,24,21,19,21
Brooklyn,203.0,308,26,45,24,16,16,30,29,20,14,21,16,14,9,8,8,12
Brooklyn,204.0,399,16,41,29,9,24,53,42,46,21,22,20,15,16,18,13,14
Brooklyn,205.0,401,44,77,50,23,15,42,20,31,12,17,14,12,9,10,15,10
Brooklyn,206.0,574,32,47,49,25,31,71,56,54,22,27,27,30,16,24,32,31
Brooklyn,207.0,739,56,113,87,57,35,91,46,47,28,32,24,26,26,19,20,32
Brooklyn,208.0,784,25,76,54,35,28,101,66,71,27,45,31,56,33,37,55,44
Brooklyn,210.0,"1,057",34,100,104,57,62,134,89,86,50,67,40,49,50,42,51,42
Brooklyn,211.0,312,6,21,21,10,16,32,27,46,21,16,18,14,12,13,18,21
Brooklyn,212.0,"1,346",57,100,127,64,61,191,118,128,53,78,58,63,62,74,57,55
Brooklyn,213.0,"1,024",52,91,85,44,43,132,81,88,46,47,57,46,48,49,66,49
Brooklyn,214.0,890,46,101,111,43,36,136,84,62,35,27,42,42,21,45,30,29
Brooklyn,215.0,"1,042",73,138,112,50,47,129,73,68,50,37,58,49,37,36,42,43
Brooklyn,216.0,"1,993",117,205,209,93,100,312,195,179,99,95,78,72,58,73,56,52
Brooklyn,217.0,903,52,101,81,43,41,121,70,77,49,37,35,37,31,39,47,42
Brooklyn,218.0,"1,867",110,223,233,85,85,259,174,152,77,89,73,71,67,66,51,52
Brooklyn,219.0,729,50,57,68,12,26,87,44,63,42,36,36,25,43,37,62,41
Brooklyn,220.0,"2,377",152,309,283,123,106,356,187,193,100,84,91,78,78,92,64,81
Brooklyn,221.0,767,25,78,63,27,24,107,62,72,39,21,32,35,38,46,48,50
Brooklyn,222.0,"2,327",152,324,251,147,111,340,188,180,80,104,77,62,87,69,84,71
Brooklyn,224.0,"2,788",164,307,297,173,129,405,260,276,138,131,113,91,93,74,70,67
Brooklyn,226.0,992,69,112,108,35,68,146,76,63,30,44,44,29,34,43,52,39
Brooklyn,227.0,823,33,64,71,37,33,119,82,73,40,35,36,40,39,43,36,42
Brooklyn,228.0,"1,526",75,159,144,83,72,231,152,127,64,84,46,63,53,65,60,48
Brooklyn,229.0,751,47,84,58,25,38,105,48,56,17,28,27,29,34,50,47,58
Brooklyn,230.0,"2,287",142,264,277,125,95,341,210,195,79,83,95,76,85,67,71,82
Brooklyn,231.0,571,41,73,65,26,18,64,45,34,18,14,21,18,20,27,31,56
Brooklyn,232.0,"2,957",179,334,364,163,132,442,229,257,116,113,114,113,128,108,85,80
Brooklyn,233.0,"1,702",70,140,145,47,72,215,117,155,87,70,82,89,93,100,102,118
Brooklyn,234.0,"2,528",236,420,303,135,107,303,164,168,74,83,90,64,66,76,130,109
Brooklyn,235.0,"1,619",128,239,235,92,95,218,97,78,39,38,30,34,29,49,101,117
Brooklyn,236.0,"2,692",274,474,384,152,127,327,161,122,65,56,62,77,57,71,150,133
Brooklyn,238.0,"2,185",193,310,268,107,115,270,140,148,73,78,67,70,76,80,93,97
Brooklyn,240.0,"2,069",181,314,297,125,98,262,145,135,62,51,61,63,57,59,79,80
Brooklyn,241.0,459,24,44,35,13,10,33,23,32,11,12,18,16,21,44,53,70
Brooklyn,242.0,"1,470",80,161,138,77,70,174,123,103,62,43,51,71,86,86,75,70
Brooklyn,243.0,864,34,83,84,34,28,116,72,55,23,41,40,43,52,43,64,52
Brooklyn,244.0,"1,440",81,154,162,77,77,228,158,112,58,50,55,43,41,56,56,32
Brooklyn,245.0,985,38,82,88,43,52,122,85,96,51,49,60,32,38,48,43,58
Brooklyn,246.0,"1,157",72,126,137,62,61,177,100,94,62,55,52,39,27,37,24,32
Brooklyn,247.0,660,28,66,64,21,20,63,63,68,31,32,22,29,34,53,37,29
Brooklyn,248.0,808,36,96,69,35,43,93,61,76,44,28,26,33,48,37,44,39
Brooklyn,249.0,954,40,82,86,51,27,114,88,58,45,44,54,51,47,51,69,47
Brooklyn,250.0,443,26,32,44,20,17,56,46,34,19,18,23,15,22,17,23,31
Brooklyn,251.0,"1,292",55,118,85,55,59,163,102,109,58,55,61,71,71,67,75,88
Brooklyn,252.0,"1,155",58,125,106,64,45,148,79,90,48,61,49,52,59,49,56,66
