index,School Year,Grade Level,Count of Students,total,White,   Black/ African American,     American Indian and Alaska Native,      Asian,Native Hawaiian and Other Pacific Islander,  Some Other Race,Two or More Races,Hispanic Origin (of any race),Total Population    21 Years    and Under,Under 1 Year,1 & 2 Years,3 & 4 Years,5 Years,6 Years,7 to 9 Years,10 & 11 Years,12 & 13 Years,14 Years,15 Years,16 Years,17 Years,18 Years,19 Years,20 Years,21 Years
126,20092010,K,24.00,647.00,263.00,20.00,0.00,189.00,0.00,3.00,35.00,137.00,795.00,36.00,71.00,70.00,39.00,32.00,120.00,71.00,61.00,31.00,35.00,40.00,41.00,36.00,26.00,45.00,41.00
128.01,20092010,K,11.00,450.00,112.00,4.00,0.00,280.00,0.00,0.00,12.00,42.00,562.00,31.00,60.00,53.00,18.00,18.00,67.00,43.00,49.00,30.00,27.00,31.00,23.00,28.00,24.00,29.00,31.00
130,20092010,K,57.00,1051.00,489.00,14.00,0.00,159.00,0.00,7.00,53.00,329.00,1273.00,77.00,134.00,104.00,63.00,54.00,161.00,114.00,109.00,70.00,60.00,56.00,49.00,74.00,38.00,56.00,54.00
132,20092010,K,21.00,553.00,240.00,2.00,0.00,208.00,0.00,0.00,12.00,91.00,684.00,28.00,69.00,42.00,24.00,27.00,88.00,72.00,69.00,33.00,25.00,42.00,34.00,36.00,36.00,26.00,33.00
134,20092010,K,28.00,834.00,494.00,18.00,0.00,114.00,0.00,0.00,40.00,168.00,1016.00,39.00,89.00,95.00,56.00,66.00,141.00,83.00,85.00,45.00,45.00,52.00,38.00,48.00,35.00,50.00,49.00
136,20092010,K,36.00,816.00,504.00,3.00,1.00,90.00,1.00,2.00,36.00,179.00,994.00,47.00,81.00,105.00,50.00,42.00,125.00,84.00,81.00,59.00,45.00,44.00,53.00,40.00,56.00,44.00,38.00
138,20092010,K,10.00,537.00,356.00,6.00,1.00,52.00,0.00,2.00,13.00,107.00,690.00,31.00,74.00,69.00,30.00,38.00,71.00,64.00,63.00,20.00,32.00,21.00,24.00,23.00,43.00,32.00,55.00
140,20092010,K,12.00,342.00,256.00,3.00,0.00,33.00,0.00,0.00,9.00,41.00,395.00,25.00,33.00,31.00,24.00,17.00,51.00,56.00,42.00,20.00,12.00,16.00,15.00,13.00,14.00,14.00,12.00
142,20092010,K,29.00,584.00,344.00,12.00,2.00,77.00,0.00,3.00,24.00,122.00,719.00,52.00,56.00,80.00,34.00,17.00,94.00,58.00,70.00,36.00,30.00,25.00,32.00,33.00,31.00,32.00,39.00
148,20092010,K,9.00,219.00,173.00,0.00,0.00,22.00,0.00,0.00,2.00,22.00,265.00,16.00,24.00,16.00,15.00,7.00,47.00,27.00,14.00,10.00,16.00,12.00,15.00,9.00,11.00,12.00,14.00
150,20092010,K,14.00,290.00,203.00,0.00,0.00,52.00,0.00,0.00,6.00,29.00,335.00,16.00,31.00,36.00,22.00,17.00,37.00,32.00,38.00,15.00,17.00,17.00,12.00,8.00,14.00,9.00,14.00
152,20092010,K,6.00,414.00,255.00,1.00,0.00,75.00,0.00,1.00,19.00,63.00,498.00,33.00,43.00,55.00,26.00,19.00,70.00,43.00,41.00,20.00,21.00,17.00,26.00,12.00,24.00,24.00,24.00
160,20092010,K,22.00,856.00,411.00,30.00,1.00,183.00,0.00,8.00,24.00,199.00,1035.00,38.00,108.00,92.00,42.00,54.00,136.00,94.00,91.00,53.00,53.00,45.00,50.00,61.00,41.00,39.00,38.00
162,20092010,K,6.00,330.00,177.00,19.00,0.00,39.00,2.00,4.00,19.00,70.00,399.00,31.00,44.00,40.00,22.00,20.00,47.00,33.00,21.00,21.00,17.00,20.00,14.00,23.00,20.00,6.00,20.00
164,20092010,K,13.00,297.00,72.00,66.00,3.00,15.00,0.00,3.00,21.00,117.00,323.00,26.00,46.00,43.00,28.00,17.00,46.00,26.00,28.00,7.00,14.00,4.00,12.00,11.00,5.00,5.00,5.00
166,20092010,K,5.00,385.00,334.00,0.00,1.00,20.00,0.00,0.00,7.00,23.00,499.00,7.00,31.00,38.00,26.00,17.00,57.00,40.00,49.00,32.00,36.00,29.00,23.00,31.00,31.00,21.00,31.00
168,20092010,K,7.00,261.00,150.00,0.00,1.00,73.00,0.00,3.00,4.00,30.00,327.00,8.00,24.00,26.00,22.00,18.00,47.00,29.00,33.00,16.00,14.00,8.00,16.00,17.00,16.00,22.00,11.00
170,20092010,K,23.00,729.00,334.00,3.00,2.00,299.00,0.00,0.00,14.00,77.00,839.00,36.00,84.00,80.00,49.00,31.00,107.00,101.00,88.00,44.00,47.00,22.00,40.00,33.00,18.00,24.00,35.00
172,20092010,K,18.00,610.00,248.00,3.00,0.00,249.00,0.00,1.00,18.00,91.00,761.00,33.00,46.00,64.00,36.00,28.00,85.00,86.00,77.00,37.00,30.00,41.00,47.00,40.00,35.00,40.00,36.00
174,20092010,K,7.00,373.00,179.00,0.00,1.00,138.00,0.00,0.00,7.00,48.00,445.00,26.00,33.00,47.00,19.00,15.00,62.00,51.00,45.00,22.00,17.00,17.00,19.00,16.00,18.00,16.00,22.00
176,20092010,K,10.00,423.00,171.00,6.00,0.00,142.00,0.00,0.00,11.00,93.00,522.00,27.00,47.00,56.00,28.00,26.00,67.00,32.00,50.00,20.00,28.00,23.00,19.00,22.00,21.00,34.00,22.00
178,20092010,K,19.00,602.00,197.00,3.00,0.00,244.00,0.00,3.00,15.00,140.00,743.00,43.00,72.00,70.00,33.00,29.00,103.00,62.00,59.00,38.00,38.00,30.00,25.00,39.00,37.00,36.00,29.00
180,20092010,K,23.00,728.00,254.00,1.00,1.00,259.00,0.00,1.00,13.00,199.00,906.00,42.00,92.00,58.00,34.00,45.00,122.00,89.00,88.00,50.00,36.00,33.00,39.00,40.00,42.00,42.00,54.00
182,20092010,K,33.00,617.00,152.00,3.00,0.00,364.00,0.00,1.00,14.00,83.00,802.00,26.00,82.00,74.00,27.00,29.00,88.00,60.00,81.00,45.00,38.00,22.00,45.00,32.00,40.00,52.00,61.00
184,20092010,K,13.00,387.00,209.00,0.00,0.00,150.00,0.00,1.00,8.00,19.00,490.00,12.00,28.00,40.00,18.00,19.00,59.00,52.00,60.00,27.00,25.00,27.00,20.00,28.00,14.00,28.00,33.00
186,20092010,K,30.00,453.00,183.00,5.00,0.00,218.00,0.00,1.00,6.00,40.00,554.00,16.00,38.00,51.00,35.00,24.00,79.00,52.00,54.00,29.00,35.00,16.00,24.00,12.00,35.00,21.00,33.00
188,20092010,K,19.00,511.00,228.00,0.00,0.00,192.00,0.00,3.00,2.00,86.00,616.00,32.00,60.00,58.00,20.00,30.00,71.00,45.00,57.00,23.00,44.00,32.00,39.00,33.00,20.00,28.00,24.00
190,20092010,K,45.00,1069.00,277.00,6.00,1.00,415.00,1.00,7.00,19.00,343.00,1373.00,60.00,96.00,140.00,47.00,56.00,188.00,119.00,111.00,74.00,48.00,68.00,62.00,83.00,64.00,76.00,81.00
192,20092010,K,22.00,951.00,592.00,6.00,0.00,190.00,0.00,7.00,20.00,136.00,1133.00,64.00,117.00,116.00,48.00,62.00,155.00,91.00,103.00,50.00,52.00,53.00,40.00,40.00,45.00,58.00,39.00
194,20092010,K,50.00,657.00,125.00,1.00,0.00,381.00,1.00,5.00,15.00,129.00,833.00,31.00,79.00,95.00,31.00,49.00,87.00,74.00,74.00,32.00,31.00,33.00,41.00,41.00,37.00,53.00,45.00
196,20092010,K,55.00,891.00,280.00,3.00,0.00,371.00,0.00,1.00,11.00,225.00,1148.00,62.00,114.00,114.00,40.00,60.00,165.00,87.00,76.00,44.00,42.00,41.00,46.00,55.00,60.00,59.00,83.00
198,20092010,K,16.00,327.00,170.00,0.00,0.00,71.00,0.00,1.00,4.00,81.00,402.00,15.00,38.00,21.00,20.00,15.00,60.00,44.00,38.00,15.00,25.00,17.00,19.00,18.00,18.00,14.00,25.00
200,20092010,K,17.00,520.00,271.00,0.00,2.00,129.00,0.00,2.00,5.00,111.00,643.00,35.00,59.00,59.00,23.00,34.00,89.00,33.00,60.00,33.00,32.00,34.00,29.00,32.00,29.00,28.00,34.00
202,20092010,K,11.00,380.00,251.00,1.00,0.00,83.00,0.00,1.00,6.00,38.00,465.00,15.00,38.00,50.00,28.00,25.00,62.00,37.00,46.00,15.00,25.00,22.00,17.00,24.00,21.00,19.00,21.00
204,20092010,K,8.00,338.00,250.00,0.00,1.00,44.00,0.00,0.00,3.00,40.00,399.00,16.00,41.00,29.00,9.00,24.00,53.00,42.00,46.00,21.00,22.00,20.00,15.00,16.00,18.00,13.00,14.00
206,20092010,K,15.00,471.00,309.00,0.00,0.00,70.00,0.00,0.00,9.00,83.00,574.00,32.00,47.00,49.00,25.00,31.00,71.00,56.00,54.00,22.00,27.00,27.00,30.00,16.00,24.00,32.00,31.00
207,20092010,K,0.00,642.00,274.00,187.00,0.00,19.00,1.00,13.00,68.00,80.00,739.00,56.00,113.00,87.00,57.00,35.00,91.00,46.00,47.00,28.00,32.00,24.00,26.00,26.00,19.00,20.00,32.00
208,20092010,K,27.00,615.00,178.00,0.00,0.00,334.00,0.00,2.00,17.00,84.00,784.00,25.00,76.00,54.00,35.00,28.00,101.00,66.00,71.00,27.00,45.00,31.00,56.00,33.00,37.00,55.00,44.00
210,20092010,K,48.00,872.00,270.00,4.00,0.00,485.00,0.00,3.00,5.00,105.00,1057.00,34.00,100.00,104.00,57.00,62.00,134.00,89.00,86.00,50.00,67.00,40.00,49.00,50.00,42.00,51.00,42.00
212,20092010,K,46.00,1098.00,195.00,5.00,0.00,734.00,0.00,2.00,19.00,143.00,1346.00,57.00,100.00,127.00,64.00,61.00,191.00,118.00,128.00,53.00,78.00,58.00,63.00,62.00,74.00,57.00,55.00
214,20092010,K,26.00,765.00,498.00,0.00,0.00,212.00,0.00,2.00,9.00,44.00,890.00,46.00,101.00,111.00,43.00,36.00,136.00,84.00,62.00,35.00,27.00,42.00,42.00,21.00,45.00,30.00,29.00
216,20092010,K,16.00,1754.00,1572.00,4.00,0.00,118.00,0.00,0.00,13.00,47.00,1993.00,117.00,205.00,209.00,93.00,100.00,312.00,195.00,179.00,99.00,95.00,78.00,72.00,58.00,73.00,56.00,52.00
218,20092010,K,9.00,1631.00,1503.00,2.00,3.00,34.00,0.00,0.00,2.00,87.00,1867.00,110.00,223.00,233.00,85.00,85.00,259.00,174.00,152.00,77.00,89.00,73.00,71.00,67.00,66.00,51.00,52.00
220,20092010,K,14.00,2062.00,1885.00,7.00,1.00,68.00,0.00,4.00,9.00,88.00,2377.00,152.00,309.00,283.00,123.00,106.00,356.00,187.00,193.00,100.00,84.00,91.00,78.00,78.00,92.00,64.00,81.00
221,20092010,K,0.00,585.00,14.00,443.00,0.00,9.00,0.00,6.00,22.00,91.00,767.00,25.00,78.00,63.00,27.00,24.00,107.00,62.00,72.00,39.00,21.00,32.00,35.00,38.00,46.00,48.00,50.00
222,20092010,K,4.00,2016.00,1831.00,3.00,0.00,32.00,0.00,4.00,10.00,136.00,2327.00,152.00,324.00,251.00,147.00,111.00,340.00,188.00,180.00,80.00,104.00,77.00,62.00,87.00,69.00,84.00,71.00
228,20092010,K,2.00,1300.00,848.00,9.00,6.00,240.00,0.00,4.00,30.00,163.00,1526.00,75.00,159.00,144.00,83.00,72.00,231.00,152.00,127.00,64.00,84.00,46.00,63.00,53.00,65.00,60.00,48.00
230,20092010,K,23.00,1982.00,1581.00,16.00,1.00,76.00,0.00,0.00,23.00,285.00,2287.00,142.00,264.00,277.00,125.00,95.00,341.00,210.00,195.00,79.00,83.00,95.00,76.00,85.00,67.00,71.00,82.00
232,20092010,K,20.00,2556.00,2322.00,5.00,0.00,113.00,0.00,1.00,17.00,98.00,2957.00,179.00,334.00,364.00,163.00,132.00,442.00,229.00,257.00,116.00,113.00,114.00,113.00,128.00,108.00,85.00,80.00
234,20092010,K,3.00,2147.00,2103.00,4.00,0.00,5.00,0.00,6.00,9.00,20.00,2528.00,236.00,420.00,303.00,135.00,107.00,303.00,164.00,168.00,74.00,83.00,90.00,64.00,66.00,76.00,130.00,109.00
236,20092010,K,3.00,2281.00,2160.00,3.00,4.00,87.00,0.00,4.00,9.00,14.00,2692.00,274.00,474.00,384.00,152.00,127.00,327.00,161.00,122.00,65.00,56.00,62.00,77.00,57.00,71.00,150.00,133.00
238,20092010,K,5.00,1839.00,1787.00,0.00,0.00,6.00,0.00,1.00,8.00,37.00,2185.00,193.00,310.00,268.00,107.00,115.00,270.00,140.00,148.00,73.00,78.00,67.00,70.00,76.00,80.00,93.00,97.00
240,20092010,K,7.00,1794.00,1718.00,5.00,0.00,20.00,0.00,0.00,7.00,44.00,2069.00,181.00,314.00,297.00,125.00,98.00,262.00,145.00,135.00,62.00,51.00,61.00,63.00,57.00,59.00,79.00,80.00
242,20092010,K,4.00,1153.00,1073.00,0.00,0.00,33.00,0.00,0.00,1.00,46.00,1470.00,80.00,161.00,138.00,77.00,70.00,174.00,123.00,103.00,62.00,43.00,51.00,71.00,86.00,86.00,75.00,70.00
244,20092010,K,13.00,1255.00,1053.00,1.00,0.00,98.00,0.00,4.00,6.00,93.00,1440.00,81.00,154.00,162.00,77.00,77.00,228.00,158.00,112.00,58.00,50.00,55.00,43.00,41.00,56.00,56.00,32.00
246,20092010,K,3.00,1037.00,726.00,7.00,2.00,210.00,0.00,1.00,4.00,87.00,1157.00,72.00,126.00,137.00,62.00,61.00,177.00,100.00,94.00,62.00,55.00,52.00,39.00,27.00,37.00,24.00,32.00
248,20092010,K,21.00,640.00,332.00,3.00,0.00,231.00,0.00,0.00,4.00,70.00,808.00,36.00,96.00,69.00,35.00,43.00,93.00,61.00,76.00,44.00,28.00,26.00,33.00,48.00,37.00,44.00,39.00
250,20092010,K,21.00,350.00,48.00,4.00,0.00,233.00,0.00,0.00,4.00,61.00,443.00,26.00,32.00,44.00,20.00,17.00,56.00,46.00,34.00,19.00,18.00,23.00,15.00,22.00,17.00,23.00,31.00
252,20092010,K,40.00,925.00,330.00,5.00,0.00,391.00,0.00,1.00,17.00,181.00,1155.00,58.00,125.00,106.00,64.00,45.00,148.00,79.00,90.00,48.00,61.00,49.00,52.00,59.00,49.00,56.00,66.00
254,20092010,K,17.00,759.00,233.00,5.00,2.00,393.00,0.00,2.00,8.00,116.00,933.00,41.00,69.00,95.00,40.00,42.00,140.00,90.00,82.00,41.00,45.00,37.00,37.00,46.00,39.00,39.00,50.00
256,20092010,K,24.00,592.00,160.00,5.00,0.00,343.00,0.00,1.00,17.00,66.00,735.00,32.00,55.00,70.00,30.00,34.00,85.00,68.00,68.00,39.00,32.00,37.00,42.00,37.00,35.00,38.00,33.00
258,20092010,K,59.00,985.00,367.00,8.00,2.00,363.00,0.00,2.00,11.00,232.00,1224.00,60.00,117.00,108.00,53.00,58.00,140.00,104.00,116.00,47.00,52.00,56.00,74.00,56.00,66.00,54.00,63.00
260,20092010,K,27.00,735.00,216.00,0.00,3.00,399.00,3.00,1.00,14.00,99.00,947.00,54.00,84.00,80.00,32.00,48.00,114.00,76.00,78.00,38.00,53.00,35.00,43.00,48.00,47.00,57.00,60.00
262,20092010,K,17.00,455.00,125.00,4.00,2.00,229.00,0.00,0.00,12.00,83.00,570.00,21.00,37.00,40.00,21.00,21.00,71.00,51.00,58.00,36.00,38.00,28.00,33.00,23.00,26.00,36.00,30.00
264,20092010,K,40.00,898.00,303.00,7.00,1.00,342.00,0.00,8.00,14.00,223.00,1171.00,65.00,100.00,96.00,53.00,38.00,122.00,77.00,93.00,78.00,62.00,51.00,63.00,72.00,65.00,68.00,68.00
266,20092010,K,46.00,761.00,274.00,0.00,2.00,339.00,0.00,0.00,14.00,132.00,959.00,36.00,90.00,77.00,41.00,39.00,115.00,82.00,102.00,37.00,44.00,51.00,47.00,42.00,46.00,55.00,55.00
268,20092010,K,40.00,893.00,406.00,3.00,0.00,293.00,0.00,4.00,6.00,181.00,1105.00,48.00,99.00,96.00,49.00,53.00,155.00,88.00,101.00,48.00,55.00,50.00,51.00,46.00,46.00,58.00,62.00
270,20092010,K,9.00,521.00,326.00,2.00,0.00,152.00,0.00,1.00,5.00,35.00,651.00,26.00,41.00,51.00,28.00,15.00,94.00,59.00,54.00,43.00,35.00,35.00,40.00,35.00,33.00,25.00,37.00
272,20092010,K,24.00,796.00,347.00,0.00,1.00,272.00,0.00,3.00,10.00,163.00,1000.00,26.00,75.00,100.00,40.00,39.00,137.00,90.00,80.00,50.00,61.00,52.00,46.00,53.00,55.00,42.00,54.00
