index,total,White,Black/ African American,Asian,Two or More Races,Hispanic Origin,race
18.0,3.0,0.0,0.333333333333,0.0,0.0,0.666666666667,1
20.0,476.0,0.0210084033613,0.0126050420168,0.0420168067227,0.0063025210084,0.909663865546,1
22.0,982.0,0.0692464358452,0.0295315682281,0.0824847250509,0.020366598778,0.78716904277,1
30.0,362.0,0.53591160221,0.024861878453,0.129834254144,0.0828729281768,0.226519337017,2
34.0,547.0,0.559414990859,0.0,0.18647166362,0.0475319926874,0.206581352834,2
36.0,625.0,0.528,0.0112,0.2192,0.0416,0.1952,2
38.0,236.0,0.665254237288,0.00847457627119,0.135593220339,0.0550847457627,0.122881355932,0
46.0,269.0,0.780669144981,0.0185873605948,0.0817843866171,0.00371747211896,0.10780669145,0
50.0,420.0,0.816666666667,0.0,0.0595238095238,0.0238095238095,0.097619047619,0
51.0,368.0,0.532608695652,0.0407608695652,0.0679347826087,0.0760869565217,0.279891304348,2
52.01,193.0,0.80310880829,0.0,0.020725388601,0.0673575129534,0.103626943005,0
52.02,286.0,0.762237762238,0.0034965034965,0.0769230769231,0.0559440559441,0.101398601399,0
54.0,426.0,0.62441314554,0.0164319248826,0.129107981221,0.0281690140845,0.201877934272,0
56.01,300.0,0.746666666667,0.0,0.0566666666667,0.0466666666667,0.146666666667,0
56.02,204.0,0.71568627451,0.00980392156863,0.117647058824,0.0343137254902,0.122549019608,0
58.0,484.0,0.634297520661,0.0103305785124,0.130165289256,0.0330578512397,0.179752066116,0
60.0,613.0,0.536704730832,0.0195758564437,0.132137030995,0.0456769983687,0.26427406199,2
62.0,581.0,0.614457831325,0.00860585197935,0.168674698795,0.0413080895009,0.165232358003,2
64.0,716.0,0.607541899441,0.0153631284916,0.0977653631285,0.0251396648045,0.231843575419,0
66.0,703.0,0.577524893314,0.0099573257468,0.0881934566145,0.0483641536273,0.271692745377,2
68.0,1175.0,0.461276595745,0.0255319148936,0.142978723404,0.0391489361702,0.32085106383,2
70.0,414.0,0.504830917874,0.0458937198068,0.149758454106,0.0507246376812,0.246376811594,2
72.0,479.0,0.0835073068894,0.00208768267223,0.189979123173,0.00835073068894,0.716075156576,1
74.0,1373.0,0.0305899490168,0.00728332119446,0.200291332848,0.01310997815,0.747997086672,1
75.0,736.0,0.713315217391,0.0149456521739,0.0298913043478,0.0896739130435,0.139945652174,0
76.0,998.0,0.0430861723447,0.00701402805611,0.12124248497,0.0100200400802,0.799599198397,1
78.0,1281.0,0.0296643247463,0.0226385636222,0.0757220921155,0.0124902419984,0.854800936768,1
80.0,1024.0,0.0556640625,0.0166015625,0.0439453125,0.0078125,0.8671875,1
