index,total,White,Black/ African American,Asian,Two or More Races,Hispanic Origin
288,3503.00,1945.00,11.00,980.00,80.00,475.00
290,3802.00,2673.00,18.00,592.00,124.00,365.00
292,2442.00,1599.00,25.00,450.00,53.00,311.00
294,2351.00,1509.00,43.00,528.00,69.00,193.00
296,5343.00,3746.00,19.00,856.00,112.00,594.00
298,3355.00,2329.00,7.00,554.00,87.00,365.00
421,3481.00,60.00,667.00,58.00,21.00,2658.00
428,3655.00,2674.00,17.00,632.00,44.00,286.00
430,3291.00,2238.00,14.00,695.00,35.00,303.00
432,3860.00,2088.00,15.00,1059.00,65.00,632.00
434,3529.00,2290.00,15.00,771.00,91.00,354.00
436,4020.00,2783.00,17.00,738.00,80.00,391.00
462.01,2447.00,1770.00,48.00,290.00,128.00,189.00
464,2537.00,2227.00,2.00,99.00,64.00,127.00
468,982.00,885.00,1.00,32.00,9.00,55.00
470,3020.00,2828.00,2.00,29.00,90.00,62.00
472,2969.00,2802.00,15.00,6.00,35.00,60.00
474,2983.00,2849.00,2.00,8.00,34.00,32.00
476,3794.00,3522.00,6.00,103.00,52.00,77.00
478,4916.00,3203.00,40.00,386.00,148.00,1067.00
480,3442.00,2222.00,66.00,485.00,88.00,509.00
484,5244.00,3371.00,310.00,338.00,262.00,905.00
486,3576.00,800.00,163.00,1113.00,335.00,1095.00
488,4393.00,2306.00,363.00,716.00,229.00,706.00
489,4020.00,27.00,1734.00,4.00,44.00,2187.00
490,6153.00,3534.00,834.00,438.00,358.00,824.00
492,3346.00,1157.00,841.00,502.00,270.00,472.00
494,5596.00,2898.00,924.00,628.00,359.00,697.00
610.02,2747.00,2618.00,8.00,19.00,29.00,69.00
726,2535.00,147.00,2137.00,44.00,66.00,122.00
902,4884.00,61.00,3488.00,94.00,76.00,1143.00
906,4675.00,18.00,3490.00,10.00,37.00,1099.00
