census tract,total,White,   Black/ African American,     American Indian and Alaska Native,      Asian,Native Hawaiian and Other Pacific Islander,  Some Other Race,Two or More Races,Hispanic Origin (of any race)
403.00,899.00,9.00,524.00,1.00,12.00,0.00,5.00,23.00,325.00
404.00,504.00,177.00,0.00,3.00,223.00,0.00,2.00,10.00,89.00
405.00,419.00,10.00,200.00,0.00,3.00,0.00,5.00,3.00,198.00
406.00,603.00,190.00,6.00,3.00,292.00,0.00,2.00,9.00,101.00
407.00,5.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00
408.00,757.00,187.00,6.00,0.00,349.00,0.00,1.00,24.00,190.00
409.00,1089.00,15.00,220.00,0.00,5.00,0.00,5.00,11.00,833.00
410.00,292.00,173.00,3.00,0.00,67.00,0.00,0.00,4.00,45.00
411.00,867.00,6.00,362.00,6.00,9.00,1.00,4.00,6.00,473.00
412.00,597.00,262.00,2.00,0.00,213.00,0.00,1.00,10.00,109.00
413.00,1029.00,13.00,372.00,0.00,1.00,0.00,7.00,6.00,630.00
414.01,346.00,292.00,0.00,0.00,9.00,0.00,2.00,6.00,37.00
414.02,308.00,279.00,3.00,0.00,3.00,0.00,0.00,14.00,9.00
415.00,1192.00,25.00,425.00,3.00,14.00,0.00,4.00,14.00,707.00
416.00,734.00,665.00,8.00,0.00,16.00,0.00,0.00,2.00,43.00
417.00,942.00,8.00,215.00,0.00,14.00,0.00,6.00,14.00,685.00
418.00,689.00,571.00,9.00,0.00,33.00,0.00,0.00,0.00,76.00
419.00,1068.00,20.00,190.00,2.00,4.00,0.00,8.00,6.00,838.00
420.00,684.00,604.00,3.00,0.00,18.00,0.00,0.00,3.00,56.00
421.00,1008.00,24.00,168.00,1.00,44.00,0.00,2.00,6.00,763.00
422.00,1058.00,788.00,14.00,2.00,41.00,0.00,0.00,18.00,195.00
423.00,1061.00,33.00,67.00,0.00,32.00,0.00,9.00,3.00,917.00
424.00,774.00,309.00,9.00,2.00,272.00,0.00,6.00,16.00,160.00
425.00,789.00,24.00,40.00,1.00,2.00,0.00,0.00,3.00,719.00
426.00,857.00,302.00,2.00,2.00,326.00,0.00,6.00,30.00,189.00
427.00,1234.00,25.00,60.00,2.00,41.00,0.00,3.00,11.00,1092.00
428.00,686.00,404.00,0.00,0.00,189.00,0.00,2.00,14.00,77.00
429.00,1452.00,41.00,53.00,0.00,37.00,0.00,15.00,12.00,1294.00
430.00,596.00,266.00,1.00,0.00,220.00,0.00,0.00,11.00,98.00
431.00,1329.00,24.00,49.00,0.00,41.00,0.00,4.00,14.00,1197.00
432.00,816.00,285.00,6.00,0.00,289.00,0.00,2.00,15.00,219.00
433.00,1139.00,32.00,142.00,4.00,52.00,0.00,8.00,4.00,897.00
434.00,586.00,259.00,5.00,0.00,166.00,0.00,3.00,9.00,144.00
435.00,1233.00,14.00,217.00,2.00,9.00,0.00,4.00,10.00,977.00
436.00,781.00,381.00,6.00,0.00,216.00,1.00,8.00,20.00,149.00
437.00,1293.00,28.00,307.00,0.00,14.00,0.00,2.00,9.00,933.00
438.00,620.00,513.00,5.00,2.00,35.00,0.00,0.00,10.00,55.00
439.00,967.00,41.00,96.00,1.00,46.00,0.00,5.00,13.00,765.00
440.00,891.00,756.00,0.00,3.00,33.00,0.00,2.00,6.00,91.00
441.00,1296.00,59.00,37.00,1.00,92.00,0.00,15.00,11.00,1081.00
442.00,871.00,797.00,0.00,3.00,19.00,0.00,4.00,7.00,41.00
443.00,1397.00,88.00,41.00,8.00,111.00,0.00,23.00,10.00,1116.00
444.00,897.00,744.00,7.00,0.00,32.00,0.00,7.00,6.00,101.00
445.00,974.00,47.00,16.00,3.00,90.00,0.00,19.00,14.00,785.00
446.00,387.00,156.00,2.00,0.00,122.00,0.00,1.00,9.00,97.00
447.00,570.00,22.00,136.00,3.00,11.00,0.00,2.00,8.00,388.00
448.00,534.00,454.00,6.00,0.00,44.00,0.00,0.00,7.00,23.00
449.00,607.00,49.00,229.00,0.00,4.00,0.00,5.00,16.00,304.00
450.00,240.00,218.00,0.00,0.00,6.00,0.00,0.00,5.00,11.00
452.00,848.00,809.00,7.00,0.00,13.00,0.00,4.00,3.00,12.00
453.00,283.00,5.00,7.00,0.00,2.00,0.00,2.00,1.00,266.00
454.00,599.00,508.00,4.00,0.00,40.00,0.00,0.00,3.00,44.00
456.00,615.00,405.00,7.00,0.00,141.00,1.00,0.00,5.00,56.00
458.00,452.00,440.00,0.00,0.00,2.00,0.00,0.00,1.00,9.00
460.00,890.00,361.00,43.00,3.00,347.00,0.00,13.00,17.00,106.00
462.01,682.00,480.00,6.00,0.00,101.00,0.00,2.00,21.00,72.00
462.02,606.00,536.00,0.00,4.00,8.00,0.00,0.00,6.00,52.00
464.00,1325.00,1262.00,4.00,0.00,20.00,0.00,1.00,3.00,35.00
468.00,985.00,956.00,0.00,0.00,3.00,1.00,0.00,9.00,16.00
470.00,1214.00,1197.00,0.00,0.00,1.00,1.00,0.00,6.00,9.00
472.00,1417.00,1389.00,16.00,0.00,0.00,0.00,0.00,6.00,6.00
474.00,1231.00,1216.00,0.00,0.00,1.00,0.00,2.00,7.00,5.00
476.00,1495.00,1401.00,6.00,0.00,13.00,0.00,6.00,17.00,52.00
477.00,235.00,105.00,1.00,0.00,11.00,0.00,3.00,21.00,94.00
478.00,1897.00,1590.00,14.00,0.00,59.00,0.00,10.00,17.00,207.00
480.00,1353.00,1042.00,16.00,0.00,122.00,0.00,1.00,24.00,148.00
481.00,263.00,63.00,1.00,0.00,30.00,0.00,1.00,5.00,163.00
482.00,1224.00,482.00,81.00,8.00,450.00,0.00,1.00,52.00,150.00
484.00,1878.00,1392.00,65.00,1.00,137.00,0.00,15.00,27.00,241.00
485.00,235.00,14.00,24.00,0.00,6.00,0.00,5.00,5.00,181.00
486.00,1108.00,295.00,20.00,8.00,440.00,0.00,3.00,43.00,299.00
488.00,1220.00,654.00,46.00,8.00,274.00,0.00,4.00,50.00,184.00
489.00,1178.00,13.00,502.00,2.00,4.00,0.00,0.00,5.00,652.00
490.00,1410.00,789.00,79.00,5.00,290.00,0.00,20.00,59.00,168.00
491.00,1306.00,276.00,183.00,1.00,303.00,0.00,6.00,12.00,525.00
492.00,866.00,277.00,106.00,2.00,215.00,0.00,17.00,26.00,223.00
493.00,1551.00,47.00,294.00,2.00,7.00,0.00,9.00,20.00,1172.00
494.00,1066.00,483.00,101.00,2.00,226.00,0.00,8.00,47.00,199.00
495.00,256.00,82.00,3.00,0.00,24.00,1.00,1.00,7.00,138.00
496.00,1025.00,276.00,16.00,1.00,378.00,1.00,6.00,31.00,316.00
497.00,190.00,138.00,2.00,0.00,12.00,0.00,0.00,8.00,30.00
498.00,918.00,262.00,22.00,3.00,380.00,0.00,5.00,37.00,209.00
499.00,179.00,114.00,3.00,0.00,4.00,0.00,2.00,9.00,47.00
500.00,648.00,320.00,27.00,3.00,120.00,0.00,21.00,27.00,130.00
501.00,243.00,134.00,3.00,0.00,10.00,0.00,0.00,7.00,89.00
502.02,412.00,276.00,22.00,0.00,12.00,0.00,4.00,23.00,75.00
503.00,276.00,111.00,3.00,0.00,9.00,0.00,3.00,5.00,145.00
504.00,852.00,387.00,90.00,2.00,142.00,0.00,13.00,53.00,165.00
505.00,706.00,33.00,130.00,1.00,91.00,0.00,2.00,12.00,437.00
506.00,1526.00,73.00,549.00,13.00,67.00,0.00,20.00,24.00,780.00
507.00,1199.00,992.00,40.00,0.00,4.00,1.00,2.00,8.00,152.00
508.01,1022.00,29.00,683.00,2.00,24.00,0.00,7.00,20.00,257.00
508.03,490.00,10.00,366.00,3.00,5.00,0.00,0.00,9.00,97.00
508.04,1499.00,30.00,755.00,2.00,37.00,0.00,11.00,17.00,647.00
509.00,2220.00,2092.00,4.00,2.00,1.00,0.00,5.00,7.00,109.00
510.01,971.00,21.00,735.00,4.00,8.00,0.00,4.00,4.00,195.00
510.02,1150.00,23.00,786.00,5.00,7.00,0.00,7.00,21.00,301.00
511.00,620.00,44.00,29.00,0.00,134.00,0.00,0.00,4.00,409.00
512.00,1550.00,67.00,896.00,5.00,39.00,1.00,4.00,34.00,504.00
513.00,488.00,71.00,24.00,0.00,4.00,0.00,1.00,5.00,383.00
514.00,1709.00,96.00,838.00,8.00,135.00,0.00,13.00,42.00,577.00
515.00,125.00,65.00,2.00,2.00,6.00,0.00,0.00,7.00,43.00
516.01,1510.00,23.00,1045.00,8.00,53.00,0.00,3.00,22.00,356.00
516.02,994.00,9.00,691.00,0.00,15.00,0.00,9.00,18.00,252.00
517.00,124.00,77.00,1.00,0.00,2.00,0.00,2.00,4.00,38.00
518.00,651.00,111.00,330.00,1.00,71.00,0.00,7.00,14.00,117.00
519.00,326.00,153.00,2.00,0.00,31.00,0.00,1.00,11.00,128.00
520.00,1040.00,140.00,186.00,11.00,375.00,0.00,7.00,33.00,288.00
523.00,904.00,78.00,10.00,4.00,21.00,0.00,1.00,11.00,779.00
525.00,1190.00,870.00,61.00,0.00,0.00,0.00,13.00,1.00,245.00
526.00,960.00,226.00,189.00,14.00,274.00,0.00,12.00,55.00,190.00
527.00,1441.00,171.00,33.00,0.00,22.00,0.00,8.00,10.00,1197.00
528.00,450.00,177.00,26.00,4.00,162.00,0.00,7.00,14.00,60.00
529.00,1775.00,1695.00,0.00,1.00,1.00,0.00,3.00,24.00,51.00
530.00,971.00,616.00,35.00,1.00,184.00,0.00,8.00,17.00,110.00
531.00,4093.00,4023.00,2.00,0.00,1.00,0.00,1.00,6.00,60.00
532.00,612.00,417.00,32.00,0.00,109.00,0.00,0.00,6.00,48.00
533.00,3007.00,2974.00,2.00,0.00,1.00,1.00,1.00,1.00,27.00
534.00,1298.00,846.00,63.00,4.00,264.00,0.00,1.00,17.00,103.00
535.00,1986.00,1901.00,1.00,0.00,3.00,0.00,3.00,6.00,72.00
537.00,1907.00,1904.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00
538.00,875.00,632.00,14.00,3.00,133.00,0.00,4.00,21.00,68.00
539.00,1063.00,930.00,24.00,2.00,0.00,0.00,3.00,10.00,94.00
542.00,1203.00,990.00,2.00,0.00,84.00,0.00,2.00,11.00,114.00
543.00,35.00,15.00,2.00,0.00,2.00,0.00,2.00,10.00,4.00
544.00,804.00,685.00,11.00,0.00,76.00,0.00,5.00,8.00,19.00
545.00,3355.00,2630.00,194.00,11.00,0.00,0.00,22.00,10.00,488.00
546.00,810.00,639.00,31.00,4.00,65.00,0.00,6.00,18.00,47.00
547.00,2145.00,1798.00,71.00,1.00,15.00,2.00,14.00,25.00,219.00
548.00,542.00,507.00,1.00,0.00,10.00,0.00,0.00,6.00,18.00
549.00,890.00,777.00,5.00,0.00,6.00,0.00,2.00,12.00,88.00
550.00,789.00,623.00,12.00,0.00,46.00,0.00,3.00,24.00,81.00
551.00,652.00,118.00,35.00,1.00,26.00,0.00,3.00,15.00,454.00
552.00,645.00,403.00,16.00,0.00,138.00,0.00,4.00,17.00,67.00
553.00,221.00,91.00,10.00,3.00,13.00,0.00,4.00,8.00,92.00
554.00,848.00,609.00,11.00,4.00,100.00,0.00,1.00,28.00,95.00
555.00,267.00,116.00,18.00,3.00,25.00,0.00,2.00,13.00,90.00
556.00,976.00,841.00,2.00,0.00,78.00,0.00,2.00,16.00,37.00
557.00,134.00,85.00,6.00,0.00,10.00,0.00,1.00,9.00,23.00
558.00,528.00,368.00,8.00,0.00,88.00,0.00,4.00,6.00,54.00
560.00,705.00,623.00,2.00,0.00,34.00,0.00,4.00,15.00,27.00
561.00,359.00,233.00,1.00,0.00,22.00,0.00,2.00,15.00,86.00
562.00,483.00,454.00,1.00,0.00,22.00,0.00,0.00,4.00,2.00
563.00,460.00,170.00,3.00,0.00,48.00,0.00,3.00,18.00,218.00
564.00,505.00,392.00,18.00,0.00,63.00,0.00,1.00,8.00,23.00
565.00,301.00,187.00,3.00,0.00,23.00,0.00,0.00,14.00,74.00
566.00,425.00,243.00,27.00,0.00,100.00,0.00,2.00,23.00,30.00
568.00,254.00,151.00,3.00,0.00,72.00,0.00,0.00,2.00,26.00
569.00,166.00,122.00,1.00,1.00,2.00,0.00,0.00,4.00,36.00
570.00,466.00,210.00,11.00,0.00,162.00,0.00,1.00,10.00,72.00
571.00,449.00,386.00,0.00,0.00,10.00,0.00,2.00,8.00,43.00
572.00,1543.00,45.00,921.00,6.00,60.00,0.00,5.00,36.00,470.00
573.00,303.00,228.00,0.00,3.00,16.00,0.00,2.00,13.00,41.00
574.00,518.00,226.00,3.00,0.00,239.00,0.00,4.00,8.00,38.00
575.00,445.00,231.00,7.00,3.00,41.00,1.00,5.00,17.00,140.00
576.00,547.00,237.00,4.00,0.00,269.00,0.00,2.00,10.00,25.00
578.00,708.00,367.00,6.00,0.00,190.00,0.00,1.00,38.00,106.00
579.00,188.00,36.00,5.00,0.00,13.00,0.00,9.00,6.00,119.00
580.00,768.00,341.00,14.00,0.00,299.00,0.00,0.00,14.00,100.00
582.00,776.00,432.00,8.00,2.00,217.00,0.00,0.00,11.00,106.00
584.00,725.00,530.00,11.00,0.00,140.00,0.00,1.00,7.00,36.00
586.00,523.00,142.00,20.00,0.00,286.00,0.00,4.00,11.00,60.00
588.00,501.00,319.00,5.00,3.00,122.00,0.00,4.00,9.00,39.00
589.00,210.00,168.00,1.00,0.00,5.00,0.00,2.00,9.00,25.00
590.00,414.00,150.00,13.00,0.00,171.00,0.00,3.00,5.00,72.00
591.00,443.00,354.00,6.00,0.00,4.00,0.00,0.00,8.00,71.00
592.00,655.00,367.00,7.00,0.00,204.00,0.00,4.00,32.00,41.00
593.00,300.00,201.00,1.00,0.00,6.00,0.00,3.00,7.00,82.00
594.01,1342.00,676.00,6.00,3.00,542.00,0.00,5.00,24.00,86.00
594.02,689.00,456.00,12.00,0.00,160.00,0.00,0.00,10.00,51.00
596.00,280.00,207.00,6.00,0.00,31.00,0.00,2.00,10.00,24.00
598.00,736.00,564.00,20.00,0.00,65.00,0.00,0.00,39.00,48.00
600.00,977.00,729.00,17.00,0.00,106.00,1.00,3.00,23.00,98.00
606.00,378.00,229.00,1.00,0.00,80.00,0.00,3.00,6.00,59.00
608.00,570.00,414.00,6.00,1.00,91.00,0.00,3.00,8.00,47.00
610.02,682.00,645.00,0.00,2.00,6.00,0.00,2.00,12.00,15.00
610.03,494.00,83.00,6.00,3.00,135.00,0.00,9.00,18.00,240.00
610.04,885.00,670.00,4.00,1.00,72.00,0.00,3.00,15.00,120.00
612.00,218.00,209.00,0.00,0.00,2.00,0.00,0.00,2.00,5.00
616.00,251.00,239.00,0.00,0.00,3.00,0.00,0.00,5.00,4.00
620.00,385.00,370.00,2.00,0.00,5.00,0.00,0.00,7.00,1.00
622.00,505.00,285.00,93.00,0.00,20.00,0.00,0.00,22.00,85.00
626.00,502.00,199.00,54.00,0.00,124.00,0.00,10.00,14.00,101.00
628.00,1093.00,913.00,0.00,1.00,33.00,1.00,0.00,15.00,130.00
632.00,201.00,161.00,0.00,0.00,17.00,0.00,2.00,0.00,21.00
636.00,280.00,222.00,1.00,0.00,18.00,0.00,1.00,4.00,34.00
638.00,240.00,194.00,1.00,0.00,22.00,0.00,0.00,7.00,16.00
640.00,408.00,326.00,4.00,0.00,36.00,0.00,1.00,6.00,35.00
642.00,631.00,491.00,8.00,3.00,41.00,0.00,1.00,4.00,83.00
644.00,829.00,684.00,14.00,0.00,56.00,0.00,0.00,7.00,68.00
646.00,673.00,562.00,18.00,0.00,37.00,0.00,0.00,13.00,43.00
648.00,573.00,316.00,115.00,1.00,45.00,0.00,4.00,19.00,73.00
650.00,267.00,46.00,112.00,0.00,44.00,0.00,0.00,13.00,52.00
652.00,287.00,185.00,10.00,0.00,37.00,0.00,0.00,14.00,41.00
654.00,403.00,345.00,3.00,0.00,13.00,0.00,1.00,8.00,33.00
656.00,395.00,323.00,7.00,0.00,17.00,0.00,2.00,15.00,31.00
658.00,379.00,287.00,4.00,0.00,38.00,0.00,2.00,12.00,36.00
660.00,401.00,301.00,0.00,0.00,34.00,0.00,0.00,5.00,61.00
662.00,277.00,158.00,7.00,0.00,44.00,2.00,0.00,13.00,53.00
666.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
670.00,631.00,77.00,388.00,3.00,37.00,0.00,8.00,19.00,99.00
672.00,362.00,22.00,233.00,3.00,11.00,0.00,2.00,20.00,71.00
674.00,401.00,45.00,260.00,6.00,20.00,0.00,6.00,12.00,52.00
676.00,349.00,16.00,284.00,3.00,6.00,0.00,3.00,15.00,22.00
678.00,539.00,42.00,451.00,1.00,6.00,0.00,2.00,11.00,26.00
680.00,459.00,24.00,299.00,0.00,28.00,0.00,5.00,23.00,80.00
682.00,557.00,50.00,360.00,0.00,29.00,0.00,8.00,11.00,99.00
686.00,277.00,109.00,75.00,2.00,37.00,0.00,8.00,8.00,38.00
688.00,346.00,68.00,186.00,1.00,33.00,0.00,2.00,8.00,48.00
690.00,396.00,46.00,272.00,0.00,19.00,0.00,0.00,6.00,53.00
692.00,571.00,32.00,433.00,0.00,10.00,1.00,8.00,19.00,68.00
696.01,920.00,365.00,365.00,2.00,20.00,0.00,3.00,18.00,147.00
696.02,1408.00,870.00,274.00,1.00,75.00,0.00,13.00,37.00,138.00
698.00,299.00,233.00,21.00,0.00,9.00,0.00,2.00,7.00,27.00
700.00,362.00,324.00,6.00,3.00,4.00,0.00,0.00,1.00,24.00
702.01,1467.00,1364.00,8.00,0.00,16.00,0.00,4.00,10.00,65.00
702.02,10.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00
702.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
706.00,507.00,444.00,0.00,0.00,8.00,0.00,1.00,11.00,43.00
720.00,598.00,26.00,505.00,1.00,23.00,0.00,2.00,13.00,28.00
722.00,508.00,9.00,447.00,3.00,9.00,0.00,2.00,7.00,31.00
724.00,332.00,2.00,303.00,1.00,0.00,0.00,7.00,8.00,11.00
726.00,413.00,0.00,368.00,0.00,0.00,0.00,6.00,19.00,20.00
728.00,590.00,20.00,499.00,1.00,5.00,0.00,1.00,11.00,53.00
730.00,339.00,10.00,309.00,0.00,2.00,0.00,3.00,1.00,14.00
732.00,395.00,11.00,324.00,0.00,23.00,0.00,3.00,3.00,31.00
734.00,395.00,6.00,333.00,0.00,11.00,0.00,2.00,6.00,37.00
736.00,840.00,65.00,550.00,3.00,115.00,1.00,2.00,31.00,73.00
738.00,894.00,341.00,382.00,6.00,32.00,0.00,7.00,17.00,109.00
740.00,941.00,87.00,553.00,0.00,121.00,0.00,12.00,32.00,136.00
742.00,1070.00,668.00,298.00,1.00,29.00,0.00,2.00,17.00,55.00
744.00,1068.00,1024.00,23.00,0.00,3.00,0.00,0.00,2.00,16.00
746.00,646.00,465.00,83.00,1.00,39.00,0.00,0.00,13.00,45.00
748.00,707.00,581.00,83.00,0.00,13.00,0.00,0.00,5.00,25.00
750.00,1069.00,898.00,92.00,2.00,15.00,0.00,4.00,7.00,51.00
752.00,354.00,353.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
754.00,480.00,480.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
756.00,627.00,565.00,11.00,0.00,36.00,0.00,0.00,2.00,13.00
758.00,489.00,463.00,0.00,0.00,9.00,0.00,1.00,0.00,16.00
760.00,667.00,568.00,7.00,0.00,52.00,0.00,0.00,14.00,26.00
762.00,993.00,505.00,95.00,4.00,187.00,0.00,3.00,12.00,187.00
764.00,789.00,154.00,433.00,4.00,36.00,0.00,4.00,12.00,146.00
766.00,501.00,16.00,401.00,2.00,8.00,0.00,1.00,2.00,71.00
768.00,1045.00,849.00,15.00,2.00,90.00,0.00,0.00,8.00,81.00
770.00,586.00,21.00,403.00,8.00,5.00,0.00,4.00,16.00,129.00
772.00,830.00,321.00,366.00,2.00,17.00,1.00,1.00,12.00,110.00
774.00,734.00,166.00,383.00,0.00,79.00,0.00,1.00,14.00,91.00
776.00,751.00,36.00,549.00,7.00,47.00,0.00,4.00,25.00,83.00
780.00,424.00,4.00,386.00,2.00,5.00,0.00,0.00,5.00,22.00
782.00,888.00,4.00,822.00,1.00,1.00,0.00,13.00,4.00,43.00
784.00,496.00,2.00,427.00,3.00,12.00,0.00,2.00,5.00,45.00
786.00,940.00,21.00,699.00,8.00,55.00,0.00,2.00,11.00,144.00
788.00,876.00,5.00,740.00,0.00,3.00,0.00,5.00,28.00,95.00
790.00,1219.00,13.00,1030.00,9.00,19.00,0.00,3.00,15.00,130.00
792.00,1218.00,18.00,949.00,5.00,13.00,0.00,4.00,29.00,200.00
794.00,476.00,11.00,392.00,2.00,1.00,0.00,1.00,7.00,62.00
796.01,912.00,77.00,662.00,0.00,6.00,0.00,2.00,20.00,145.00
796.02,1094.00,31.00,843.00,7.00,3.00,0.00,8.00,16.00,186.00
798.01,492.00,58.00,351.00,0.00,9.00,0.00,1.00,28.00,45.00
798.02,1031.00,82.00,772.00,7.00,17.00,0.00,6.00,32.00,115.00
800.00,725.00,94.00,519.00,1.00,14.00,0.00,4.00,27.00,66.00
802.00,943.00,24.00,779.00,3.00,3.00,0.00,20.00,25.00,89.00
804.00,750.00,53.00,592.00,6.00,13.00,0.00,5.00,16.00,65.00
806.00,960.00,395.00,493.00,3.00,1.00,1.00,6.00,12.00,49.00
808.00,27.00,8.00,18.00,0.00,0.00,0.00,1.00,0.00,0.00
810.00,503.00,8.00,448.00,1.00,7.00,0.00,1.00,7.00,31.00
814.00,547.00,0.00,491.00,0.00,5.00,0.00,0.00,16.00,35.00
816.00,673.00,4.00,593.00,0.00,13.00,0.00,0.00,18.00,45.00
818.00,974.00,12.00,770.00,2.00,16.00,0.00,11.00,21.00,142.00
820.00,1339.00,24.00,1098.00,3.00,22.00,0.00,10.00,27.00,155.00
822.00,1541.00,22.00,1323.00,3.00,10.00,0.00,5.00,28.00,150.00
824.00,1132.00,5.00,979.00,1.00,17.00,0.00,0.00,20.00,110.00
826.00,1301.00,25.00,1118.00,4.00,6.00,1.00,6.00,26.00,115.00
828.00,896.00,8.00,750.00,12.00,9.00,0.00,4.00,15.00,98.00
830.00,1526.00,4.00,1352.00,2.00,10.00,0.00,8.00,30.00,120.00
832.00,501.00,3.00,452.00,4.00,11.00,1.00,4.00,2.00,24.00
834.00,323.00,0.00,292.00,1.00,2.00,0.00,0.00,12.00,16.00
836.00,416.00,2.00,380.00,1.00,4.00,0.00,4.00,5.00,20.00
838.00,396.00,1.00,350.00,0.00,1.00,0.00,1.00,16.00,27.00
840.00,464.00,5.00,411.00,1.00,1.00,0.00,2.00,9.00,35.00
846.00,391.00,15.00,329.00,0.00,0.00,0.00,5.00,18.00,24.00
848.00,379.00,0.00,360.00,0.00,1.00,0.00,0.00,4.00,14.00
850.00,267.00,2.00,248.00,1.00,0.00,0.00,0.00,6.00,10.00
852.00,7.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00
854.00,440.00,4.00,394.00,0.00,3.00,0.00,3.00,3.00,33.00
856.00,784.00,9.00,688.00,4.00,2.00,0.00,4.00,12.00,65.00
858.00,546.00,2.00,493.00,4.00,2.00,0.00,0.00,10.00,35.00
860.00,813.00,15.00,735.00,5.00,9.00,0.00,1.00,6.00,42.00
862.00,692.00,6.00,639.00,5.00,3.00,0.00,10.00,3.00,26.00
864.00,511.00,3.00,472.00,3.00,0.00,0.00,0.00,4.00,29.00
866.00,703.00,1.00,662.00,0.00,1.00,0.00,1.00,10.00,28.00
868.00,741.00,25.00,661.00,5.00,9.00,0.00,3.00,6.00,32.00
870.00,703.00,9.00,642.00,2.00,2.00,0.00,0.00,2.00,46.00
872.00,584.00,2.00,549.00,0.00,0.00,2.00,1.00,11.00,19.00
874.01,612.00,61.00,486.00,0.00,5.00,0.00,4.00,11.00,45.00
876.00,467.00,134.00,310.00,0.00,0.00,0.00,1.00,4.00,18.00
878.00,592.00,2.00,545.00,1.00,0.00,0.00,3.00,8.00,33.00
880.00,635.00,18.00,547.00,4.00,2.00,0.00,4.00,10.00,50.00
882.00,1673.00,1.00,1532.00,6.00,7.00,0.00,2.00,21.00,104.00
884.00,1370.00,10.00,1244.00,5.00,13.00,0.00,0.00,29.00,69.00
886.00,1032.00,7.00,923.00,0.00,9.00,0.00,0.00,6.00,87.00
888.00,1007.00,2.00,861.00,2.00,4.00,3.00,0.00,18.00,117.00
890.00,1575.00,3.00,1372.00,3.00,9.00,0.00,3.00,15.00,170.00
892.00,961.00,0.00,838.00,1.00,1.00,2.00,3.00,22.00,94.00
894.00,947.00,10.00,777.00,4.00,3.00,0.00,10.00,17.00,126.00
896.00,1012.00,7.00,857.00,3.00,27.00,1.00,4.00,8.00,105.00
898.00,590.00,7.00,514.00,0.00,4.00,0.00,6.00,7.00,52.00
900.00,1642.00,2.00,1280.00,10.00,0.00,2.00,7.00,27.00,314.00
902.00,1069.00,7.00,745.00,5.00,10.00,1.00,5.00,14.00,282.00
906.00,1596.00,9.00,1057.00,4.00,6.00,0.00,1.00,16.00,503.00
908.00,1379.00,13.00,887.00,1.00,1.00,0.00,0.00,26.00,451.00
910.00,1704.00,4.00,1151.00,5.00,10.00,0.00,1.00,19.00,514.00
912.00,2274.00,27.00,1454.00,8.00,6.00,0.00,2.00,32.00,745.00
916.00,1249.00,12.00,1027.00,1.00,4.00,0.00,4.00,16.00,185.00
918.00,779.00,2.00,460.00,3.00,0.00,0.00,4.00,7.00,303.00
920.00,982.00,4.00,825.00,2.00,4.00,0.00,6.00,7.00,134.00
922.00,622.00,3.00,548.00,4.00,0.00,0.00,2.00,11.00,54.00
924.00,868.00,6.00,675.00,0.00,6.00,0.00,8.00,6.00,167.00
928.00,566.00,6.00,507.00,0.00,4.00,0.00,1.00,9.00,39.00
930.00,475.00,0.00,450.00,0.00,4.00,0.00,2.00,9.00,10.00
932.00,202.00,1.00,188.00,1.00,0.00,0.00,0.00,1.00,11.00
934.00,412.00,1.00,380.00,0.00,4.00,0.00,2.00,5.00,20.00
936.00,376.00,0.00,330.00,2.00,0.00,0.00,2.00,4.00,38.00
938.00,532.00,1.00,489.00,0.00,1.00,0.00,5.00,5.00,31.00
944.01,679.00,6.00,622.00,1.00,0.00,0.00,1.00,10.00,39.00
944.02,853.00,8.00,683.00,9.00,3.00,0.00,1.00,6.00,143.00
946.00,354.00,4.00,322.00,1.00,5.00,0.00,1.00,2.00,19.00
950.00,602.00,8.00,564.00,0.00,1.00,0.00,3.00,3.00,23.00
954.00,1053.00,12.00,978.00,1.00,0.00,0.00,3.00,12.00,47.00
956.00,975.00,8.00,881.00,3.00,12.00,0.00,3.00,10.00,58.00
958.00,842.00,16.00,741.00,2.00,20.00,0.00,3.00,8.00,52.00
960.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
962.00,440.00,22.00,365.00,1.00,4.00,0.00,0.00,3.00,45.00
964.00,562.00,20.00,463.00,0.00,8.00,0.00,3.00,8.00,60.00
966.00,533.00,14.00,432.00,0.00,21.00,0.00,5.00,14.00,47.00
968.00,378.00,18.00,255.00,0.00,3.00,0.00,5.00,19.00,78.00
970.00,480.00,20.00,367.00,0.00,15.00,0.00,1.00,8.00,69.00
974.00,599.00,22.00,524.00,2.00,5.00,0.00,4.00,6.00,36.00
982.00,1331.00,8.00,960.00,2.00,3.00,0.00,2.00,42.00,314.00
984.00,483.00,3.00,446.00,0.00,1.00,0.00,7.00,1.00,25.00
986.00,663.00,4.00,604.00,1.00,6.00,0.00,6.00,6.00,36.00
988.00,617.00,20.00,533.00,0.00,4.00,0.00,7.00,11.00,42.00
990.00,350.00,11.00,268.00,1.00,27.00,1.00,2.00,6.00,34.00
992.00,452.00,16.00,368.00,0.00,19.00,0.00,0.00,16.00,33.00
