census tract,total,White,   Black/ African American,     American Indian and Alaska Native,      Asian,Native Hawaiian and Other Pacific Islander,  Some Other Race,Two or More Races,Hispanic Origin (of any race)
112.00,2044.00,954.00,22.00,7.00,363.00,0.00,13.00,22.00,663.00
114.00,1176.00,832.00,28.00,0.00,161.00,0.00,13.00,20.00,122.00
116.00,1334.00,136.00,1.00,1.00,1042.00,0.00,12.00,12.00,130.00
117.00,388.00,96.00,16.00,0.00,37.00,0.00,10.00,9.00,220.00
118.00,555.00,36.00,1.00,0.00,453.00,0.00,1.00,6.00,58.00
119.00,181.00,83.00,16.00,0.00,5.00,0.00,2.00,3.00,72.00
120.00,311.00,17.00,0.00,0.00,250.00,0.00,0.00,0.00,44.00
121.00,238.00,79.00,15.00,0.00,8.00,0.00,0.00,13.00,123.00
122.00,1346.00,101.00,6.00,1.00,499.00,0.00,1.00,7.00,731.00
126.00,647.00,263.00,20.00,0.00,189.00,0.00,3.00,35.00,137.00
127.00,715.00,62.00,288.00,2.00,10.00,0.00,3.00,12.00,338.00
128.01,450.00,112.00,4.00,0.00,280.00,0.00,0.00,12.00,42.00
129.01,307.00,128.00,36.00,0.00,12.00,0.00,2.00,22.00,107.00
129.02,264.00,160.00,23.00,0.00,5.00,0.00,4.00,20.00,52.00
130.00,1051.00,489.00,14.00,0.00,159.00,0.00,7.00,53.00,329.00
131.00,527.00,241.00,82.00,0.00,24.00,0.00,3.00,49.00,128.00
132.00,553.00,240.00,2.00,0.00,208.00,0.00,0.00,12.00,91.00
133.00,656.00,407.00,34.00,1.00,22.00,0.00,3.00,69.00,120.00
134.00,834.00,494.00,18.00,0.00,114.00,0.00,0.00,40.00,168.00
135.00,757.00,469.00,27.00,2.00,43.00,0.00,11.00,95.00,110.00
136.00,816.00,504.00,3.00,1.00,90.00,1.00,2.00,36.00,179.00
137.00,491.00,296.00,22.00,1.00,16.00,0.00,7.00,44.00,105.00
138.00,537.00,356.00,6.00,1.00,52.00,0.00,2.00,13.00,107.00
139.00,553.00,313.00,63.00,0.00,22.00,0.00,3.00,33.00,119.00
140.00,342.00,256.00,3.00,0.00,33.00,0.00,0.00,9.00,41.00
141.00,525.00,281.00,19.00,0.00,25.00,0.00,10.00,36.00,154.00
