,census tract,total,White,   Black/ African American,     American Indian and Alaska Native,      Asian,Native Hawaiian and Other Pacific Islander,  Some Other Race,Two or More Races,Hispanic Origin (of any race)
Brooklyn,014800,219,173,0,0,22,0,0,2,22
Brooklyn,014900,793,482,41,0,34,0,7,41,188
Brooklyn,015000,290,203,0,0,52,0,0,6,29
Brooklyn,015100,716,516,18,0,27,0,8,78,69
Brooklyn,015200,414,255,1,0,75,0,1,19,63
Brooklyn,015300,511,342,38,0,24,0,9,34,64
Brooklyn,015400,0,0,0,0,0,0,0,0,0
Brooklyn,015500,642,477,22,2,22,0,3,43,73
Brooklyn,015700,725,530,19,0,42,1,8,60,65
Brooklyn,015900,749,525,49,3,17,0,15,80,60
Brooklyn,016000,856,411,30,1,183,0,8,24,199
Brooklyn,016100,470,259,76,1,11,3,4,46,70
Brooklyn,016200,330,177,19,0,39,2,4,19,70
Brooklyn,016300,419,191,80,3,28,0,4,50,63
Brooklyn,016400,297,72,66,3,15,0,3,21,117
Brooklyn,016500,"1,015",780,25,1,43,0,10,80,76
Brooklyn,016600,385,334,0,1,20,0,0,7,23
Brooklyn,016700,882,683,27,2,20,0,8,58,84
Brooklyn,016800,261,150,0,1,73,0,3,4,30
Brooklyn,016900,716,363,21,0,25,0,10,37,260
Brooklyn,017000,729,334,3,2,299,0,0,14,77
Brooklyn,017100,780,576,7,2,46,0,7,54,88
Brooklyn,017200,610,248,3,0,249,0,1,18,91
Brooklyn,017400,373,179,0,1,138,0,0,7,48
Brooklyn,017500,0,0,0,0,0,0,0,0,0
Brooklyn,017600,423,171,6,0,142,0,0,11,93
Brooklyn,017700,0,0,0,0,0,0,0,0,0
Brooklyn,017800,602,197,3,0,244,0,3,15,140
Brooklyn,017900,604,70,406,0,5,0,1,30,92
Brooklyn,018000,728,254,1,1,259,0,1,13,199
Brooklyn,018100,460,219,122,2,12,0,5,49,51
Brooklyn,018200,617,152,3,0,364,0,1,14,83
Brooklyn,018300,347,157,93,0,2,0,0,36,59
Brooklyn,018400,387,209,0,0,150,0,1,8,19
Brooklyn,018501,"1,037",23,622,3,51,0,2,13,323
Brooklyn,018600,453,183,5,0,218,0,1,6,40
Brooklyn,018700,253,46,92,0,4,0,2,18,91
Brooklyn,018800,511,228,0,0,192,0,3,2,86
Brooklyn,019000,"1,069",277,6,1,415,1,7,19,343
Brooklyn,019100,444,108,125,0,8,0,6,21,176
Brooklyn,019200,951,592,6,0,190,0,7,20,136
Brooklyn,019300,674,275,242,0,4,0,5,36,112
Brooklyn,019400,657,125,1,0,381,1,5,15,129
Brooklyn,019500,438,143,154,2,12,0,5,40,82
Brooklyn,019600,891,280,3,0,371,0,1,11,225
Brooklyn,019700,462,152,188,0,17,0,5,49,51
Brooklyn,019800,327,170,0,0,71,0,1,4,81
Brooklyn,019900,370,105,183,0,8,0,2,23,49
Brooklyn,020000,520,271,0,2,129,0,2,5,111
Brooklyn,020100,478,172,200,0,10,0,6,43,47
Brooklyn,020200,380,251,1,0,83,0,1,6,38
Brooklyn,020300,271,54,101,0,39,1,1,13,62
Brooklyn,020400,338,250,0,1,44,0,0,3,40
Brooklyn,020500,357,108,141,3,16,0,2,40,47
Brooklyn,020600,471,309,0,0,70,0,0,9,83
Brooklyn,020700,642,274,187,0,19,1,13,68,80
Brooklyn,020800,615,178,0,0,334,0,2,17,84
Brooklyn,021000,872,270,4,0,485,0,3,5,105
Brooklyn,021100,248,10,122,0,7,0,3,12,94
Brooklyn,021200,"1,098",195,5,0,734,0,2,19,143
Brooklyn,021300,812,36,631,6,4,0,3,24,108
Brooklyn,021400,765,498,0,0,212,0,2,9,44
Brooklyn,021500,884,214,413,0,43,0,5,72,137
Brooklyn,021600,"1,754","1,572",4,0,118,0,0,13,47
Brooklyn,021700,744,59,483,2,34,0,3,34,129
Brooklyn,021800,"1,631","1,503",2,3,34,0,0,2,87
Brooklyn,021900,546,39,432,1,1,0,6,19,48
Brooklyn,022000,"2,062","1,885",7,1,68,0,4,9,88
Brooklyn,022100,585,14,443,0,9,0,6,22,91
Brooklyn,022200,"2,016","1,831",3,0,32,0,4,10,136
Brooklyn,022400,"2,484","2,011",18,1,158,0,4,6,286
Brooklyn,022600,824,245,5,10,115,0,1,15,433
Brooklyn,022700,663,37,507,0,50,0,2,24,43
Brooklyn,022800,"1,300",848,9,6,240,0,4,30,163
Brooklyn,022900,562,44,396,2,17,1,3,23,76
Brooklyn,023000,"1,982","1,581",16,1,76,0,0,23,285
Brooklyn,023100,437,88,248,0,3,0,4,30,64
Brooklyn,023200,"2,556","2,322",5,0,113,0,1,17,98
Brooklyn,023300,"1,289",181,737,0,8,0,3,24,336
Brooklyn,023400,"2,147","2,103",4,0,5,0,6,9,20
Brooklyn,023500,"1,323",902,90,2,6,0,0,22,301
Brooklyn,023600,"2,281","2,160",3,4,87,0,4,9,14
Brooklyn,023800,"1,839","1,787",0,0,6,0,1,8,37
Brooklyn,024000,"1,794","1,718",5,0,20,0,0,7,44
Brooklyn,024100,271,58,123,0,3,0,2,6,79
Brooklyn,024200,"1,153","1,073",0,0,33,0,0,1,46
Brooklyn,024300,653,39,455,1,17,0,7,20,114
Brooklyn,024400,"1,255","1,053",1,0,98,0,4,6,93
Brooklyn,024500,798,35,598,2,65,0,2,13,83
Brooklyn,024600,"1,037",726,7,2,210,0,1,4,87
Brooklyn,024700,507,11,374,0,55,0,5,18,44
Brooklyn,024800,640,332,3,0,231,0,0,4,70
Brooklyn,024900,740,36,581,0,12,0,11,23,77
Brooklyn,025000,350,48,4,0,233,0,0,4,61
Brooklyn,025100,991,20,680,0,21,0,4,22,244
Brooklyn,025200,925,330,5,0,391,0,1,17,181
Brooklyn,025300,520,31,320,0,18,2,0,20,129
Brooklyn,025400,759,233,5,2,393,0,2,8,116
Brooklyn,025500,"1,541",23,569,11,18,1,2,19,898
Brooklyn,025600,592,160,5,0,343,0,1,17,66
Brooklyn,025700,564,16,215,7,11,0,0,6,309
Brooklyn,025800,985,367,8,2,363,0,2,11,232
Brooklyn,025901,537,4,234,0,2,0,0,7,290
Brooklyn,025902,"1,103",8,529,5,12,0,0,15,534
Brooklyn,026000,735,216,0,3,399,3,1,14,99
Brooklyn,026100,"1,212",27,763,2,4,0,6,38,372
Brooklyn,026200,455,125,4,2,229,0,0,12,83
Brooklyn,026300,434,4,315,1,2,0,1,5,106
Brooklyn,026400,898,303,7,1,342,0,8,14,223
Brooklyn,026500,993,7,727,6,20,1,4,20,208
