,,a_year_before,target,year,Wht%,Blc%,Ind%,Asn%,Mix%,His%,0-4,5-9,10-14
51,2,0,0,20022003,0.532608696,0.04076087,0,0.067934783,0.076086957,0.279891304,3,-2,0
51,3,0,0,20022003,0.532608696,0.04076087,0,0.067934783,0.076086957,0.279891304,3,-2,0
51,4,0,0,20022003,0.532608696,0.04076087,0,0.067934783,0.076086957,0.279891304,3,-2,0
51,5,1,0,20022003,0.532608696,0.04076087,0,0.067934783,0.076086957,0.279891304,3,-2,0
52.01,K,4,7,20022003,0.803108808,0,0.005181347,0.020725389,0.067357513,0.103626943,1,-2,-1
52.01,1,4,4,20022003,0.803108808,0,0.005181347,0.020725389,0.067357513,0.103626943,1,-2,-1
52.01,2,3,4,20022003,0.803108808,0,0.005181347,0.020725389,0.067357513,0.103626943,1,-2,-1
52.01,3,4,3,20022003,0.803108808,0,0.005181347,0.020725389,0.067357513,0.103626943,1,-2,-1
52.01,4,8,4,20022003,0.803108808,0,0.005181347,0.020725389,0.067357513,0.103626943,1,-2,-1
52.01,5,6,9,20022003,0.803108808,0,0.005181347,0.020725389,0.067357513,0.103626943,1,-2,-1
52.02,K,6,4,20022003,0.762237762,0.003496503,0,0.076923077,0.055944056,0.101398601,2,-3,-1
52.02,1,6,7,20022003,0.762237762,0.003496503,0,0.076923077,0.055944056,0.101398601,2,-3,-1
52.02,2,2,4,20022003,0.762237762,0.003496503,0,0.076923077,0.055944056,0.101398601,2,-3,-1
52.02,3,4,5,20022003,0.762237762,0.003496503,0,0.076923077,0.055944056,0.101398601,2,-3,-1
52.02,4,6,8,20022003,0.762237762,0.003496503,0,0.076923077,0.055944056,0.101398601,2,-3,-1
52.02,5,5,6,20022003,0.762237762,0.003496503,0,0.076923077,0.055944056,0.101398601,2,-3,-1
54,K,10,10,20022003,0.624413146,0.016431925,0,0.129107981,0.028169014,0.201877934,3,-3,-2
54,1,14,11,20022003,0.624413146,0.016431925,0,0.129107981,0.028169014,0.201877934,3,-3,-2
54,2,16,11,20022003,0.624413146,0.016431925,0,0.129107981,0.028169014,0.201877934,3,-3,-2
54,3,9,10,20022003,0.624413146,0.016431925,0,0.129107981,0.028169014,0.201877934,3,-3,-2
54,4,13,8,20022003,0.624413146,0.016431925,0,0.129107981,0.028169014,0.201877934,3,-3,-2
54,5,6,9,20022003,0.624413146,0.016431925,0,0.129107981,0.028169014,0.201877934,3,-3,-2
56.01,K,6,8,20022003,0.746666667,0,0,0.056666667,0.046666667,0.146666667,1,-3,-1
56.01,1,11,8,20022003,0.746666667,0,0,0.056666667,0.046666667,0.146666667,1,-3,-1
56.01,2,8,9,20022003,0.746666667,0,0,0.056666667,0.046666667,0.146666667,1,-3,-1
56.01,3,7,6,20022003,0.746666667,0,0,0.056666667,0.046666667,0.146666667,1,-3,-1
56.01,4,3,6,20022003,0.746666667,0,0,0.056666667,0.046666667,0.146666667,1,-3,-1
56.01,5,6,4,20022003,0.746666667,0,0,0.056666667,0.046666667,0.146666667,1,-3,-1
56.02,K,1,4,20022003,0.715686275,0.009803922,0,0.117647059,0.034313725,0.12254902,1,-2,-1
56.02,1,6,2,20022003,0.715686275,0.009803922,0,0.117647059,0.034313725,0.12254902,1,-2,-1
56.02,2,6,5,20022003,0.715686275,0.009803922,0,0.117647059,0.034313725,0.12254902,1,-2,-1
56.02,3,3,4,20022003,0.715686275,0.009803922,0,0.117647059,0.034313725,0.12254902,1,-2,-1
56.02,4,2,2,20022003,0.715686275,0.009803922,0,0.117647059,0.034313725,0.12254902,1,-2,-1
56.02,5,2,1,20022003,0.715686275,0.009803922,0,0.117647059,0.034313725,0.12254902,1,-2,-1
58,K,16,16,20022003,0.634297521,0.010330579,0.006198347,0.130165289,0.033057851,0.179752066,3,-3,-1
58,1,15,19,20022003,0.634297521,0.010330579,0.006198347,0.130165289,0.033057851,0.179752066,3,-3,-1
58,2,12,13,20022003,0.634297521,0.010330579,0.006198347,0.130165289,0.033057851,0.179752066,3,-3,-1
58,3,15,15,20022003,0.634297521,0.010330579,0.006198347,0.130165289,0.033057851,0.179752066,3,-3,-1
58,4,8,14,20022003,0.634297521,0.010330579,0.006198347,0.130165289,0.033057851,0.179752066,3,-3,-1
58,5,7,9,20022003,0.634297521,0.010330579,0.006198347,0.130165289,0.033057851,0.179752066,3,-3,-1
60,K,21,23,20022003,0.536704731,0.019575856,0,0.132137031,0.045676998,0.264274062,4,-4,-1
60,1,24,17,20022003,0.536704731,0.019575856,0,0.132137031,0.045676998,0.264274062,4,-4,-1
60,2,23,21,20022003,0.536704731,0.019575856,0,0.132137031,0.045676998,0.264274062,4,-4,-1
60,3,19,21,20022003,0.536704731,0.019575856,0,0.132137031,0.045676998,0.264274062,4,-4,-1
60,4,14,13,20022003,0.536704731,0.019575856,0,0.132137031,0.045676998,0.264274062,4,-4,-1
60,5,19,13,20022003,0.536704731,0.019575856,0,0.132137031,0.045676998,0.264274062,4,-4,-1
62,K,26,16,20022003,0.614457831,0.008605852,0,0.168674699,0.04130809,0.165232358,2,-5,-1
62,1,33,22,20022003,0.614457831,0.008605852,0,0.168674699,0.04130809,0.165232358,2,-5,-1
62,2,28,35,20022003,0.614457831,0.008605852,0,0.168674699,0.04130809,0.165232358,2,-5,-1
62,3,34,30,20022003,0.614457831,0.008605852,0,0.168674699,0.04130809,0.165232358,2,-5,-1
62,4,22,30,20022003,0.614457831,0.008605852,0,0.168674699,0.04130809,0.165232358,2,-5,-1
62,5,16,19,20022003,0.614457831,0.008605852,0,0.168674699,0.04130809,0.165232358,2,-5,-1
64,K,22,19,20022003,0.607541899,0.015363128,0,0.097765363,0.025139665,0.231843575,4,-7,-3
