,2010 Census Tract,Wht%,Blc%,Ind%,Asn%,Mix%,His%,20002001_0-4,20002001_5-9,20002001_10-14,20012002_0-4,20012002_5-9,20012002_10-14,20022003_0-4,20022003_5-9,20022003_10-14,20032004_0-4,20032004_5-9,20032004_10-14,20042005_0-4,20042005_5-9,20042005_10-14,20052006_0-4,20052006_5-9,20052006_10-14,20062007_0-4,20062007_5-9,20062007_10-14,20072008_0-4,20072008_5-9,20072008_10-14,20082009_0-4,20082009_5-9,20082009_10-14,20092010_0-4,20092010_5-9,20092010_10-14,20102011_0-4,20102011_5-9,20102011_10-14,20112012_0-4,20112012_5-9,20112012_10-14,20122013_0-4,20122013_5-9,20122013_10-14,20132014_0-4,20132014_5-9,20132014_10-14,20142015_0-4,20142015_5-9,20142015_10-14,20152016_0-4,20152016_5-9,20152016_10-14,20162017_0-4,20162017_5-9,20162017_10-14,20172018_0-4,20172018_5-9,20172018_10-14
14,56.01,0.7466666666666667,0.0,0.0,0.056666666666666664,0.04666666666666667,0.14666666666666667,-5,-9,18,3,-2,1,1,-3,-1,5,0,0,1,-2,-2,-3,3,1,-3,-3,-3,3,2,-2,1.0,1.0,-3.0,-14.0,-8.0,-1.0,1,2,2,1,0,0,1,2,2,0,1,2,1,1,1,0,0,0,1,-1,-1,0,1,0
15,56.02,0.7156862745098039,0.00980392156862745,0.0,0.11764705882352941,0.03431372549019608,0.12254901960784313,21,32,11,2,-2,0,1,-2,-1,3,-2,0,2,0,0,-3,1,-1,-1,-2,-2,1,3,0,1.0,0.0,-3.0,-10.0,-6.0,0.0,1,0,1,0,2,1,0,0,1,2,1,0,0,2,1,1,0,0,-1,0,1,1,0,0
16,58.0,0.6342975206611571,0.010330578512396695,0.006198347107438017,0.13016528925619836,0.03305785123966942,0.1797520661157025,5,18,31,4,-4,2,3,-3,-1,6,-2,-1,3,-2,-3,-6,5,1,-3,-6,-5,3,5,-2,1.0,1.0,-7.0,-19.0,-15.0,-2.0,1,3,2,1,1,3,2,3,2,0,2,4,2,1,2,0,1,0,1,0,-1,1,0,0
17,60.0,0.5367047308319739,0.01957585644371941,0.0,0.13213703099510604,0.04567699836867863,0.2642740619902121,50,10,29,6,-5,2,4,-4,-1,9,-2,-1,5,-2,-2,-9,4,0,-5,-5,-5,6,7,-3,1.0,0.0,-8.0,-29.0,-17.0,-1.0,2,2,3,2,3,2,2,3,4,1,3,3,1,2,3,1,0,-1,2,1,0,0,0,0
18,62.0,0.6144578313253012,0.008605851979345954,0.0,0.1686746987951807,0.04130808950086059,0.16523235800344235,-68,1,33,4,-5,1,2,-5,-1,7,-3,-2,2,-1,-3,-5,5,1,-3,-7,-6,2,7,-3,2.0,2.0,-9.0,-19.0,-18.0,-2.0,1,3,3,1,2,4,1,2,3,2,2,3,1,3,3,1,1,0,0,1,0,0,0,0
19,64.0,0.6075418994413407,0.015363128491620111,0.0,0.09776536312849161,0.025139664804469275,0.23184357541899442,39,27,69,5,-5,2,4,-7,-3,8,-3,-2,4,-2,-3,-8,5,0,-4,-7,-8,4,7,-4,3.0,4.0,-10.0,-27.0,-22.0,-3.0,2,3,4,2,3,5,1,3,4,2,3,5,1,4,3,1,0,0,1,1,1,0,0,-1
20,66.0,0.577524893314367,0.00995732574679943,0.0,0.08819345661450925,0.04836415362731152,0.2716927453769559,41,8,30,5,-5,2,4,-5,-1,9,-3,-2,4,-2,-3,-8,5,0,-5,-7,-7,5,9,-3,2.0,1.0,-10.0,-27.0,-21.0,-3.0,1,3,4,2,3,3,2,3,4,1,2,4,2,4,4,1,0,0,0,1,0,1,0,-1
21,68.0,0.46127659574468083,0.02553191489361702,0.001702127659574468,0.14297872340425533,0.03914893617021276,0.32085106382978723,-1,78,82,8,-9,4,5,-9,-3,13,-6,-2,6,-3,-6,-12,9,1,-6,-12,-13,7,14,-6,2.0,4.0,-15.0,-40.0,-37.0,-5.0,3,5,7,2,5,6,2,5,6,3,5,6,3,5,7,0,1,0,1,1,0,2,2,0
22,70.0,0.5048309178743962,0.04589371980676329,0.0,0.1497584541062802,0.050724637681159424,0.2463768115942029,-3,7,13,4,-3,1,1,-3,-2,6,-3,-1,2,-1,-3,-4,3,0,-3,-4,-5,2,4,-2,2.0,2.0,-6.0,-16.0,-12.0,-2.0,1,1,3,1,2,2,1,2,3,1,2,2,0,1,3,1,1,-1,0,0,0,1,0,0
23,72.0,0.08350730688935282,0.0020876826722338203,0.0,0.18997912317327767,0.008350730688935281,0.7160751565762005,10,-8,10,3,-3,2,3,-3,-2,5,-3,0,3,0,-2,-5,3,-1,-3,-4,-4,2,5,-3,2.0,2.0,-6.0,-17.0,-14.0,-2.0,1,1,3,1,2,2,1,2,3,1,2,2,1,1,3,1,1,0,0,0,0,0,1,0
